Common Name,"IUPAC
name (Serial number in Schedule)",Approved Source for Import (M/s),Indigenous manufacturers (M/s)
"Allethrin Technical 90% min.
Allethrin Tech. containing d-Allethrin 90% w/w min.",3,"1.     Sumitomo Chemical Co. 15, 5-Chome, Aitahama, Higashi- ku Osaka, Japan
2.     Hoechst Schering Agr. Evo
SA Paris, France","1.      Sumitomo Chemical India Ltd., Mumbai.
2.      Shogun Organics Ltd., Mumbai
3.      Manakshia Ltd, Mumbai"
"Alphacypermethrin Technical
95% min.
Long Lasting Nets Impregnated with Alphacypermethrin 0.667% w/w for import*",416,"1.  Cynamid Quimica do Brasil Ltd., Resendez, Brazil
2.  *M/s Sunshine World Net 2003 Co. Ltd., 18/2 Moo 7, Rattanatibet Road, Bangkrasor Muang Nonthaburi, 11000, Thialand.(by M/s BASF India Ltd. Mumabi)","1.      BASF India Ltd., Mumbai
2.      Gharda Chemicals Ltd., Mumbai.
3.      Coromandel International Ltd., Secundrabad
4.      Rotam India Limited, Mumbai
5.      Gujarat Agrochem Limited, Mumbai
6.      Insecticide India Limited
7.      Punjab chemicals & Crop Protection Ltd
8.      Hemani Industries Ltd., Ankleshwar
9.      Heramba Industries Ltd
10.    Megmani Organics Ltd., Ahmedabad
11.    Bharat Rasayan Ltd., Delhi
12.    Tagros Chemicals India Ltd., Chennai
13.    HPM Chemicals & Fertilizers Ltd.,
14.   Jai Shree Rasayan Udyog Ltd. 95.0% min,  9(4)"
Alpha naphthyl Acetic Acid 98% min.,264,"Universal Crop Protection Ltd., UK",-
"Aluminium phosphide 56% min.
and 77.5% Gr.",4,Insitu,"1.      Excel Crop Care Ltd., Mumbai
2.      Agrosynth Chemicals Ltd., Bangalore
3.      Sandhya Organic Chemicals Ltd., Mumbai
4.      United Phosphorus Ltd., Mumbai(77.5% Gr)"
Ametoctradin Technical 98% w/w min,,"BASF SE,D-67056 Ludwigshafen, Germany (by M/s BASF India Ltd., Mumbai)",
Ametryn 80% WG,385,"Adama  Agan  Ltd.,  P.O.B. 262,    Northern    Industrial Zone, ASHDOD, Israel",1.     Adama India Pvt. Ltd.
Ametoctradin Technical 98% min w/w,,"BASF SE D-67056 Ludwigshafen, Germany.   ( By BASF India Ltd, Mumbai )",
Pyraclostrobin 133 g/l + Epoxiconazole 50 g/l SE,"637
548","BASF  Espanola  S.L,  Ctra. Nacional,   340   Km   1156,
43006 Tarragona, Spain",
"Ametroctradin 27% +
Dimethomorph 20.27% SC
Dimethomorph 12% + Pyraclostrobin 6.7% WG for import*","795
462","1.       BASF Espanola S.L, Ctra. Nacional, 340 Km 1156, 43006 Tarragona, Spain.
2.       *M/s. IPT Pergande GmbH, Wilfried Pergande Platzl, 06369 WeiBandt – Golzau, Germany ( By BASF India
Ltd, Mumbai )",
Anilophos Technical 93% min.,383,"Bayer Crop Science AG, Germany.,
change to M/s Bayer AG, Germany, ( By M/s  Bayer CropScience Ltd.- 93% in
392nd RC) .","1.     Bayer Crop Science Ltd., Mumbai.
2.     Gharda Chemicals Ltd., Mumbai.
3.     Hyderabad Chemical Pvt Limited."
