Common Name,"IUPAC
name (Serial number in Schedule)",Approved Source for Import (M/s),Indigenous manufacturers (M/s)
Clodinafop-propargyl Technical 93% min (Piroxofop - Propinyl ),513,"1.     Cheminova A/S, P. O. Box 9, DK-7620, Lemvig, Denmark
2.     Syngenta Grimsby Pyewipe, GB, Grimsby South
Humbeside, UK","1.     United Phosphorus Limited, Gujarat
2.     Atul Limited, Gujarat
3.     Bhagiradha Chemicals & Industries Ltd., Prakasham District (A.P.)
4.     Excel Phosphate Pvt. Ltd., Delhi.93.0 % Min, 9(4)
5.     Hyderabad Chemical Products Ltd.
6.     Crystal phosphate Limited, Delhi
7.     Rotam India Ltd, Mumbai
8.     Ravi Organics Ltd"
Clodinafop-propargyl Technical 95% min (Piroxofop - Propinyl ),513,"ADAMA Agan Ltd. P.O.B.
262, Ashdod, Israel",
Clodinafop-propargyl Technical 97% min (Piroxofop - Propinyl ),501,"1.  Chongquing Shining Fine Chemicals co., Ltd., 28-3, Citic Commerce No. 5, Yanghe San Cun Jiangbei, District Chonging, China","9.     Bharat Rasayan Ltd
10.    Punjab Chemicals & Crop Protection Ltd
11.   Sharda Worldwide Exports Pvt Limited
12.   Meghmani Industries Limited
13.   Modern Insecticides Ltd., Ludhiana
14.   Chemtura Chemical India Pvt. Ltd, N Delhi
15.   GSP Crop Science Pvt. Ltd. Ahmedabad
16.   Insecticides India Ltd
17.   Sundew Life Science Pvt Ltd, Coimbatore.
18.   Sabero Organics GujaratLtd.
19.   Gharda chemicals Ltd.
20.   HPM Chemicals & Fertilizers Ltd.,
21.   M/s. Crystal Crop Protection Pvt. Ltd., N. Delhi
22.   Best Crop Science LLP, Gajraula, UP,
23.    Agrico Organics Ltd., New Delhi 93% min"
"Clomazone Technical
. 90%",419,"FMC Corporation, Phildelphia, USA",
Chlorpropham technical 98% w/w min,23,"1.  United Phosphorus Limited, Chadwick House, Birchwood Park, Warriton, WA 36AE, UK
2.  B.V Industric –en- HandelSonderneming Simonis, Post Box No. 620- 7000 AP, Doetinchem, Holland (by M/s Rajhans
Fertilizers Ltd., Indore)",
Chlorantraniliprole tech 93% min,764,"1.     M/s.  DuPont  Asturias  S.L. Valle   de   Tamon   Nubledo 33469          Taman-Carreno Asturias, Spain Supplier M/s.",
,,"Dupont            International Operations  Sarl  Chemin  du Pavillion,               Geneva, Switzerland.
2.     E.I. DuPont de Nemours & Co. DuPont Crop protection, Mobile Manufacturing Center, 12650 Highway 43, P O Box 565, Axis, Alabama, USA, Change to M/s FMC Corporation, Mobile Manufacturing Centre, 12650, Highway 43, P.O. Box 565, Axis Alabama 36505-0565, USA (Endorsement by M/s Syngenta India Ltd. in 404th RC).
through supplier: DuPont International Operations Sarl, 2 Chemin du Pavillon, 1218 Le grand Saconnex, Geneva, Switzerland.
3.     Dupont Agricultural Chemicals Ltd., Jinshan, Plant No. 39, Shungong Road, Shanghai Chemical Industry Park, Shanghai 201507, PR China Supplied through: Dupont Company(Singapore) Pte.
Ltd., 1 Harbour Front Place#",
,,,
,,"11-01, Harbour Front Tower One, Singapore 098633",
Chlorfenapyr 10% SC (FI),564,"Jiangsu Rotam Chemistry Co. Ltd. No. 88, rotam Road, Ketd, Kunshan City, Jiangsu Province, China",
Chlorimuron ethyl Technical 95% min.,448,"3.    Du Pont Agricultural Caribe Industries ltd., Box 30,000, State Road, HWY, 686 Km.
2.3 Manati Puerto Rico – 00701, USA
4.    Dalian Raiser Pesticides Co. Ltd., No. 101, Xinanyao Jinzhou Dalian Liaoning, China (by M/s Crystal Crop Protection Pvt. Ltd.,)","1. Atul Limited, Valsad, Gujarat
2. J ai Shree Rasayan Udyog Ltd., Delhi, 95% min.,9 (4)
3. Ambey Labs Pvt. Ltd., New Delhi 95.0 % min, 9 (4) 4.  M/s UPL Ltd., 95.0 % min, 9(4), In 386th RC.
5. M/s Best CropScience LLP, 95% min. 9(4), in 389th RC"
"Chlormequate Chloride Technical
97% min.",170,"BASF, West Germany ( by BASF India Ltd., Mumbai.)",
"Chlorobenzilate
(Banned Vide S.O. 628(E) dated 17th July 2001)",21,"Novartis Crop Protection, A.G.,     Switzerland.",
Chlorothalonil Technical 96% min. [Tetrachloroisophthalonitrite (Chemical name)],336,"1.   SDS Biotech. KK, 2-12-7, Higashi Shinbashi Minato- ku, Tokyo 105, Japan.
2.   Industrial Chemical Caffero SPA Milana, Italy.
3.   Limin Chemical Co. Ltd., Jiangsu No. 31, Xintan road, Xinyi, Jiangsu, China-
221400","1.     Bonagiri Life Science Ltd
2.     Gharda chemicals Ltd.
3.     Meghmani Industries Ltd Ahmedabad.
4.     HPM Chemicals & FertilizersLtd., 96% min, 9 (4)
5.     M/s Best Crop Science LLP, 96% min, 9 (4), in 386th RC.
6.     M/s Meghmani Industries Ltd., 96% min., 9(3), in 392nd
RC (New Source)"
,,"Supplier; -  Jiangsu Jaitai Chemical Co. Ltd., Nanjiang, China",
Chlothianidin 50% WDG,654,"Sumitomo Chemicals Takeda Agro Co. Ltd, Japan",
"1.  Chlorpyriphos Technical
94% min.",215,"1.     Dow Agro Sciences LLC, USA
2.     Dow Agro Sciences LLC, UK
3.     M/s ADAMA Mekhteshim Ltd. Israel. (formerly known as Mekhteshim Chemical Works, Beer Sheva, Israel,
P.o. Box 60, Industrial Zone, Beer Sheva, 8410001, Israel. Through Supplier: Same as Manufacturer (Validity of the source 11.12.2021) (By- M/s ADAMA India Pvt. Ltd.,)
4.     FMC Corporation, USA
5.     Cheminova Denmark A/s, PO Box 9, DK-7620, Lemvig, Denmark.","1.  De-NOCIL Crop Protection Ltd., Mumbai
2.  Excel Crop Care Ltd. Ltd., Mumbai
3.  Gharda Chemicals Ltd., Mumbai
4.  Montari Industries Ltd., Delhi
5.  Siris India Ltd., Hyderabad.
6.  Vantech Industries Ltd., Hyderabad.
7.   GSP Crop Science Ltd., Ahmedabad (RC 305)
8.  Sabero Organics Gujrat Limited,
9.  India Pesticide Ltd, Lucknow
10. Punjab Chemicals and Crop Protection Ltd, Chandigarh
11.      Rotam India Limited, Mumbai
12.      Heranba Industries Limited
13.      Insecticides India Ltd.,
14.      Shivalik Rasayan Ltd., New Delhi
15.      Bonagri Life Science Ltd, Hubli.
16.      Coromandel International Ltd.
17.      Hyderabad Chemical Products Pvt. Ltd.
18.      Cheminova Inida Ltd., Gujarat
19.      Netmatrix Ltd. Hyderabad
20.      Megmani Organics Ltd., Ahmedabad
21.      Bharat Rasayan Ltd., Delhi
22.      Gujarat Insecticides Ltd. Ankleshwar
23.      Sudarshan Chemical Industries Ltd., Pune
24.      Bhagiratha Chemicals & Industries Ltd.
25.      HPM Chemicals & Fertilizers Ltd.,
26.  Jubilent Life Sciences Ltd., Gajraula, Jyotiba Phule"
,,,"Nagar, UP
27.  Best Crop Science LLP, Gajraula, UP 94.0% min. 9(4)
28. Hemani Industries Ltd., 94.0% min. 9(4)
29. Integrated Pesticides (P) Ltd., ., 94.0% min. 9(4)
30. Sujanil Chemo Industries, Pune., 94.0% min. 9(4)
31.  Coromandel Agrico Pvt. Ltd., New Delhi, 94.0% min. 9(4)
32. M/s Oriya Organics Pvt. Ltd.,94% min., 9(4), In 386th
RC
33. M/s Krishi Rasayan Exports Pvt. 94% min., 9(4), In 386th RC"
Chlorpyriphos Methyl Technical 96% min.,403,"Dow Agro Science LLC, UK.","De-Nocil Crop Protection Ltd., Mumbai"
"Chlorfluazuron 5% w/v
(5.4% w/w) EC WRT",447,---,"United Phosphorous Limited, Mumbai"
Chromafenozide tech 93% min.,757,"Nippon Kayaku Co Ltd, Fujimi Bldg, 11-2 Fujimi 1- chome, Chiyoda-Ku, Tokya 102-8172, Japan. Supplier: Arysta Life Science, Tokyo, Japan.",
Clothianidin 50%WDG,654,"Sumitomo Chemical Takeda Agro Co. Ltd., Tokyo, Japan through  Arysta Life Sciences
Corporation, Japan",
"Copper Hydroxide 77% WP, 53.8% w/w DF.",177,"1.     EI DuPont de Nemours & company, Houston Manufactuing 12701, Almeda road, Houston, Texas USA Change to M/s Kocide LLC",-
,,"Address 9145, Guilford road, Suite 175, Columbia,
Maryland 21046, USA. Through  Supplier asM/s DuPont International Operations Sarl Chemin da Pavilion, 1218, Le-Grand- Saconnex, Geneva, Switzerland  (by E.I Dupont
India Pvt .ltd. in 388th RC.)",
"Copper Oxychloride Technical
57% min. (Copper Content)",34,,"1.Artee Graphite P Ltd., Delhi. 2.Mehul Organics Pvt. Ltd.
3.Vimal Crop Care Ltd.
4.Joy Agro Chem Industries Ltd 5.Crystal Phosphate Ltd
6.Shyam Chemicals Pvt Ltd, Mumbai. 7.Hindustan Insecticide Ltd.
8.India Pesticides Ltd.
9.Punjab Chemicals & Crop Protection Ltd.
10.   Sulphur Mills Limited"
Copper Sulphate Technical 98% min. equivalent to 25% copper content,32,,"1.Blue Crystral Agrochemicals Ltd., Bangalore. 2.Parikh Enterprises Ltd., Ahmedabad.
3.Travencore Copper Fungicide (P) Limited, Ernakulam
4. Bluesea Chemicals (I) Pvt Ltd, Thirumalabhagom, Kerala
5. Caress Industries Kavindapadi
6. Divya Chemical Manufacturer, Kinnigoli, Manglore Karnataka
7. Krishi Rasayan, Kolkotta
8. Copper Chemical Manufacturers, Puthuppady (Kerala)
9.     Sudarshan Chemical Industries Ltd., Pune
10.  Chirag Industries , Karnataka, 98.0% min (eq 25 % copper Contents ), 9(4)"
,,,"11.  Bharath Chemicals Industries, Karnataka 98.0% min (eq 25
% copper Contents), 9(4)"
Coumachlor,33,To be informed.,
Coumatetralyl Technical 95% w/w min.,180,"Bayer Crop Science AG, Germany., change to (M/s Bayer AG, Germany), ( By M/s  Bayer CropScience Ltd.
in 392nd RC )",
Cuprous Oxide,35,,
Cyantraniliprole Technical 93 % Min,794,"M/s. E.I. Dupont de Nemours and Company, Dupont Crop Protection,               Mobile
Manufacturing           Center Highway 43, Axis, Alabama 36505, USA
Supplier-Dupont International Operations Sarl Chemin  du  Pavillon  2  Ch- 1218   Le   Grand-Saconnex Geneva, Switzerland.",
"Cyflumetofen Technical
96.0  % min.",793,"OAT   Agrico   Co.   Ltd.,   1-3-1 KandaQgawamachi,
Chiyoda-ku,  Tokoyo,  Japan
(M/s   Dhanuka   Agri   Tech Ltd.)",
Cyenopyrafen 30% w/w SC (FI-WRT),,"1.  M/s       Nissan       chemical industries       Ltd.       Kowa- Hitotsubashi, building 7-1, 3- chome,     Kanda-Nishiki-cho,",
,,"chiyoda-ku,  Tokyo  101-0054, Japan.    Through    Supplier: Nissei corporation, Japan Add 10-5,  Nihonbashi-Honcho,  1- chome,  chou-ku,  Tokyo  103- 0023   Japan.   (Valid-   uotp 26/11/2020)      {By-      M/s
Insecticides  India  Ltd.,  Delhi
in 393rd RC,  (FI-WRT)}",
Cynmethylin Tech. 90% min.,450,Dimminico Ltd. Switzerland.,
"Cyfluthrin Technical 90% min,",415,"1.    Bayer Crop Science AG, Germany., change to (M/s Bayer AG, Germany), (By M/s  Bayer CropScience Ltd. in 392nd RC
2.    Mitchell Cotts Chemicals, UK",
Cyphenothrin Technical 92% min. and 7.2%VP,417,"1.     Sumitomo Chemicals, Osaka, Japan.
2.     Earth Chemicals Co. Ltd., New Awajmachi Bldg., 3-14, 1-chome, Chuo-Ku, Osaka,
Japan",---
Cyhalofop-butyl Technical 96% min,565,"1.                                  Dow
Chemical Ltd., Japan Dow Agro Sciences Division, Tokyo,
Japan. (By-M/s Dow Agro Science)
2.                                  Dow
Chemical Company, Michigan Operation, 1790 Building, Midland, MI, USA 48667",
,,(Additional Site),
Cyhalothrin Technical,405,"1.     Sumitomo Chemical
2.     M/s. Shijiazhuang Richem Co. Ltd., No. 148 East Yahua Road, Shijiazhuang, 050031, Hebei, China","1.     Sumitomo Chemical
2.     Crystal Crop protection Pvt. Ltd."
Cymoxanil Technical 96% min.,453,"DuPont de Nemours (France) SA, DuPont Agriculture Products, 82, Wittel Sheim,
BP 9, Cerney, France.","1.     Indofil Indutries Ltd., Andheri(E)
2.     Best Crop Science LLP, Gajraula, UP"
"Cypermethrin Technical 92% min, 70% min. & 50% min,",332,"1.     Dow Agro Co., UK (92% min.)
2.     Mitchel Cotts Chemicals, UK (92% min.)
3.     Zeneca Ltd., UK (70% min.)
4.     Shell International Chemical Co. Ltd., UK (50%)","1.      BASF India Ltd., Mumbai.
2.      De-Nocil Crop Protection Ltd., Mumbai
3.      Coromondel International Ltd. Secundrabad
4.      Gharda Cehmicals Ltd., Mumbai.
5.      Gujarat Insecticides Ltd., Ankleshwar (92%)
6.      RPG Life Sciences Ltd., Mumbai.
7.      Rallis India Ltd., Mumbai
8.      Syngenta Crop Protection Pvt. Ltd., Amar Paradigm, Pune
9.      Gujarat Agro-Chem Ltd, Mumbai
10.   Rotam India Limited, Mumbai
11.   Insecticide India Ltd
12.   Punjab Chemicals & Crop Protection Ltd
13.   Crystal Phosphates Ltd., Delhi
14.   Hemani International Pvt. Ankleshwar
15.   United Phosphorus Ltd. Mumbai
16.   Hyderabad Chemical Products Pvt. Ltd
17.   Heramba Industries Ltd.
18.   Megmani Organics Ltd., Ahmedabad
19.   Tagros Chemicals India Ltd., Chennai (92%)
20.   Sudarshan Chemical Industries Ltd., Pune (92%)
21.   Bharat Rasayan Ltd., Delhi (92%)., 9(4
22.   Bayer Crop Science Ltd., Mumbai., 9(4)"
,,,"23.    Crop Life Science Ltd., Ankleshwar, 9(4)"
Cyphenothrin Technical92% min.,417,"Sumitomo Chemical Co. Ltd, Japan",Sumitomo Chemical
Cyazofmid 34.5% SL,734,"Ishihara Sangyo Kaisha Ltd., 1-3-15 edobori, Nishi-Ku,
Osaka – 550-0002",
Dazomet tech 94% min,456,"BASF Atkiengesll Shaft , D- 67056 Ludwigshafen, Germany",Margo Bio Controls Pvt. Ltd. Bangalore
"Dalapon Technical
85% min &TK               { Withdrawn  Vide S.O 915 (E ) dated 15th
Jun. 2006 }",36,"1.     Veb Chemical Kombunat, Bitterfield, GDR
2.     Dow Agro sciences LLC, USA
3.     Diamond Shamrock, USA",
Deltamethrin Technical 98% min.,333,"1.     Bayer CropScience S.A. Lyon, France (Name of previous source is M/s. Aventis CropScience S.A. Lyon, France this was changed in 230th RC by)
2.     Bayer S.A.S., 16 rue Jean- Marie Leclair 69009, Lyon, France
3.     Roussel Uclof, Paris, France","1.     Agrevo India Ltd., Mumbai
2.     Gharda Chemical Ltd., Mumbai
3.     Tagros Chemicals Ltd.
4.      Isagro (Asia) Agross-chemicals Pvt. Ltd
5.      Heranba Industries Ltd, Gujarat
6.      Meghmani organics Ltd
7.      Insecticide India Limited
8.      Hindustan Insecticide ltd.
9.     Bayer Crop Science Ltd., Mumbai.
10.    Bayer Vapi Pvt. Ltd., Vapi, Gujarat
11.   Shogun Organics Ltd., Mumbai, 95% min.,9(4)
12.  M/s Himani Industries Ltd., Mumbai, 98% min.,9(4)"
Diazinon Technical 95% min.,43,"1.     Novartis Crop Protection, Switzerland.","Sudarshan Chemicals Industries Ltd., Pune"
"{Banned vide S.O. 3951(E) dated 8th August, 2018}",,"2.     Nippon Kayaku Co. Ltd., Japan.
3.     Makhteshim Chemical Works, Israel. Name Change to M/s. Adama Makhteshim
Ltd., Israel.",
"Dichlorophenoxy Acetic Acid Sodium salt (2,4-D) 80.3% acid",45,,"1. Atul India Limited, Valsad
2. Artee Minerals, Faridabad
3. Dhanuka Pesticides
4. Meghmani Organics Ltd.
5. Heranba Industries Ltd."
Dichloro Diphenyl Trichloroethane (DDT),39,"Sojuzchim Eexport, 32 / 34, Smolenckekaja, Sennaza (Moscow)","Hindustan Insecticides Ltd., Delhi."
"Dichlorvos  92% min
{To be phase out 31st December, 2020  and no new certificate of registration shall be issued vide S.O. 3951(E) dated 8th August, 2018}",40,"1.     Makhteshim Agan, Israel.
2.     Nippon Soda Co., Japan
3.     Shell International Chemical Co. Ltd., UK
4.     Shenzhen Jianghan Commerce & In shenzhen, China.","1.     Cheminova India Ltd., Mumbai
2.     Coromondel International Ltd. Secundrabad
3.     Syngenta India Ltd. , Pune
4.     PI Industries Ltd., Udaipur
5.     Sudarshan Chemicals Industries Ltd., Pune.
6.     Heranba Industries Ltd.
7.     Sabero Organics Gujarat Ltd.
8.     Hindustan Insecticide Ltd
9.     Insecticide India Limited
10.   Meghmani Organics Ltd
11.   Crystal Phosphates limited, Delhi
12.   United Phosphorus Ltd., Mumbai
13.   Rallis India Ltd.
14.   India Pesticide Ltd.
15.   Bharat Rasayan Ltd. Delhi
16.   Best Crop Science LLP, Gajraula, UP"
Diclosulam 84% WDG,787,"M/s. Herbicide Formulation Plant, Building 1000 Midland, Michigan",
,,USA 48667.,
Diclofop-methyl Technical 93% min,361,"Bayer Crop Science AG, Germany., change to(M/s Bayer AG, Germany, ( By M/s  Bayer CropScience Ltd.in 392nd RC.",
Dicofol Technical 82% min & 85% min,199,"1.     Agan Chemical Manufacturers Ltd., Israel.
2.     Makhteshim Agan, Israel.
3.     DowAgro Science, Italy.
4.     I.P.I.CI.SPA, Italy.
5.     Dow Agro Science, USA
6.     Makhteshim Chemical Works, Israel.
7.     Montecinca, S.A., Barcelona, Spain","1.      Indofil Indutries Ltd., Andheri(E)
1.  Hindustan Insecticide Ltd.(82%)"
"Difenoconazole Technical 92% min., 95% min.",460,"1.  Syngenta Crop Protection AG Monthey, Switzerland","1.   Syngenta (India) Ltd., Mumbai
2.  Indofil Industries Ltd., Mumbai (95% min)
3.  M/s Oriyo Organics Pvt. Ltd., 95% w/w min.,9(4), in 387th
RC"
"Difenthiuron tech
96% min., 97% Tech Min",459,"Syngenta Crop Protection, AG, Monthey, Switzerland. M/s Jiangsu Changlong Agrochemical Co. Ltd., No. 8 Tuanjiehe Road, Economic Development District of Taixing, Jiangsu, China
supplier name M/s Willowood Ltd.
17th Floor Seaview Plaza 283, Shau Kei Wan Road,","1.  GSP Crop Science Pvt. Ltd. Ahmadabad
2.  Insecticides India Ltd.
3.  Indofil India Ltd. 96.0 % min, 9 (4)
4.   Agrico Organics Ltd., 96.0 % min, 9 (4)
5.    Krishi Rasayan Export Pvt. Ltd, 96.0 % min, 9 (4)
6.   Bonageri Life Science, 96.0 % min, 9 (4)
7.  Ambey Labs Pvt. Ltd., New Delhi, 96.0 % min, 9 (4)
8.   Crop Life Sceince Ltd., Ankleshwar, 96.0 % min, 9 (4)
9.   Best Crop Science Pvt. Ltd., New Delhi, 96.0 % min, 9 (4)
10. M/s Nagarjuna Agritech Ltd. 96% min, 9(4) in 386th RC."
,,"Shau Kei Wan, Hong Kong.(By m/s Willowood Chemicals Pvt. Ltd. Kolkota
)","11. M/s India Pesticides Ltd., 96% min, 9(4) in 390th RC."
"Diflubenzuron Technical 90% min., 95% min,.",377,"1.     Chemtura, Netherlands, B. V, Netherlands (earlier Uniroyal Chemicals B.V., Netherlands)
2.     Dow Agro Science, US
3.     Uniroyal Chemical Co., USA and
4.      M/s Duphar Br. Holland through supplier
Arysta Life science Netherlands B.V,Ankerweg 18,1041 Amsterdam, Netherlands ( endorsement By- M/s Arista Life Science
India Ltd., in 386th RC","1.  Gharda Chemicals Ltd., Mumbai
2.  Hindustan Insecticide Ltd. 90%)
3.  Arysta Life science India ltd. (TI) ,"
Diflubenzuron 2% Gr.,377,"Chemtura Italy S.r.l, Rea Industria Chemica S.P.a.s.s 87 km, 20.700, 81025,
Maarcianise (CE), Italy,
Europe",
Diflubenzuron 2% Tablet,377,"Chemtura Italy S.r.l, Rea Industria Chemica S.P.a.s.s 87 km, 20.700, 81025,
Maarcianise (CE), Italy, Europe",
Dimethoate Technical 85% min.,47,"1.     Agrimot SPA, Italy.
2.     I.P.I.C.I.SPA, Italy","1.     Rallis India Ltd.
2.     Shaw Wallace & Co. Ltd., Chennai"
,,"3.     Cheminova A/S, P.O. Box 9, DK 7620, Lemvig, Denmark
4.     M/s. Chongquing Pesticides & Chemical Industry Group Company Ltd., Hunan Fourth Road, Chongquing Chemical Industrial Park, Chongquing,
China (95% Min)","3.     Cheminova India Ltd., Bangalore
4.     Hyderabad Chemical Products Pvt. Ltd.
5.     Shivalik Rasayan Ltd.
6.     Sudarshan Chemical Industries Ltd., Pune
7.     Coromandel  International Ltd."
Dimethomorph Technical 95.5% min.,462,"BASF, S.A., Rodovia Presidente Dutra, KM 300.5, 27537-000-Resende RJ, Brazil",
Dinocap Technical 90% min.,204,"1.     Dow Agro Science, Italy.
2.     Dow Agro Science, USA",
Dinotefuran 20 % SG ( FI-WRT),713,"1.  GAP Industries Co  Ltd, Thailand through supplier  M/s Summit Agro International Ltd., Summitomo Corporation Takebashi Building, 9F, 1-2-2, Hitobashi, Chiyoda-Ku, Tokyo 100-0003,  (By M/s P I
Industries Ltd.)",---
Dithianon Technical 93% min.,342,"Celamerck Gmbh & Co., Ingelhum, West     Germany.",Rallis India Ltd.
"Diuron Technical
95% min. and 98% min.",211,"1.  E.I. Dupont de Nemours & Co., Inc. USA
2.  ADAMA Agan Ltd. P.O.B. 262, Ashdod, Israel. (formerly known as M/s Mekhteshim Chemical
Manufacturer Ltd., Israel).","1.     Bayer Crop Science Ltd., Mumbai
2.     Atul Ltd, Valsad
3.     Hikal Limited, Mumbai
4.     Crew Chemicals 9(3)-98% min.
5.     Siris Crop Science, New Delhi
6.     Bharat Rasayan Ltd., Delhi (98%)
7.     Meghmani Indsustries Ltd, Ahmedabad"
,,"Through Supplier: Same as Manufacturer Valid upto  of the source 11.12.2021 (By- M/s ADAMA India Pvt.
Ltd.,)","8.     M/s Insecticides India Ltd., 98% min.,9(4) in 386th RC"
Dodine Technical 98% min.,212,"1.     Agro Kemia Industrial Co- op, Hungary.
2.     CHIMAC S.A. Rue de Renory, 26/2, B-4102, Belgium.
Supplier: AGRIPHAR S.A. Rue de Renory, 26/1, B-
4102,  Belgium","1.     Indofil Indutries Ltd., Andheri(E)"
d-trans- allethrin Technical 93% min.,3,,"1.     Shogun Organics Limited. 206A, Kotia Nirman, Andheri (W)
2.     Bayer Vapi Pvt. Ltd., Vapi, Gujarat
3.     Insecticide India Limited, Delhi
4.     Reckitt Benckiser India Limited
5.     Sumitomo Chemicals India Pvt. Ltd, 220, Nariman Point, Mumbai
6.      Tagros Chemicals India Ltd., 93% min., 9(4)
7.      M/s Synergia Science  Pvt. 93% 9(4) in 345th RC"
Ediphenophos Technical 85% min.,217,"1.     Nihon Tokusu Noyakh, Japan.
2.     Chemagro Agril. Divn., USA
3.     Mcbay Chemical Corpn., USA
4.     Bayer CropScience K.K. Japan (By Bayer
CropScience Ltd.,India  TI)",
Endosulfan Technical 90% min. & 94% min.,218,BANNED by Hon. Supreme Court,BANNED by Hon. Supreme Court
Emamectin Benzoate Technical 95% min.,604,"1.     M/s.   Hebei   Veyoug   Bio- Chemical Co. Ltd, China 393 Heping        East        Road, Shijiazhuang    City,    Hebei Province, P.R. China.
2.      Hunan Gofar Fine Chemical Industry Technical Co. Ltd., Yuxi  Linxiang  City,  Hunan, China.
Supplier:  Shenzhon  Sushan Technology  Co.  Ltd.  Room No.   2410,   Bloc,   Huangdu Plaza,  Yitian  Road,  Futian District,               Shenzhen Guangdong Province, China.
3.      M/s.    Zhejiang    Shenghua Biok Biology Co. Ltd. China. Plant     Address:     Zhongguan Industrial     Park     Deqing Zhejiang  China,  Zip  Code-
313220.
Office Address: Room 1003, Part- D  Phase,  Two  World  Trade Centre,  No.  122,  Shuguang Road,    Hangzhou    310007, China.
4.     M/s. Syngenta Nantong Crop Protection  Co.  Ltd.,  No.1, Zhong Yang Road, Nantong, Jiangsu, PR China
5.     Qingdao KYX Chemical Co.
Ltd.,  Shuji  Industries  Zone,","1.       Crystal Crop Protection Pvt. Ltd., New Delhi
2.       Krishi Rasayan Exports Pvt. Ltd.
3.       Syngenta India Ltd"
,,,
,,"Laixi     District,     Qingdao, China Zip-266071
6.     M/s   Jingbo   Agrochemicals Technology      Co.,      Ltd., Economic        Development Zone,      Boxing      County, Shandong   Province   –   256 500, P.R. China through Supplier        name        M/s Willowood  (Hangzhou)  Co. Ltd.,   Room   2003,   Golden Plaza,   No.   118,   Qingchun Road,    Xiacheng    District, Hangzhou    City,    Zhejiang Province,    China.    validity upto  24th  April,  2019  (by M/s   Willowood   Chemicals
Pvt. Ltd., Kolkata)",
Emamectin Benzoate 5 % SG,604,"Syngenta Crop protection AG, Switzerland",
Emamectin Benzoate 0.1% w/w Gel Bait,,"Fumakilla Malaysia Berhad, Plot No. 256, Tingkat Perusahaan 5 Kawasan Perindustrain
Perai 2, 13600 Perai, Penang, Malaysiavalidity upto 31st March, 2019 (by M/s
Syngenta India Ltd.)",
Epoxiconazole Tech 92% min,548,"BASF Schwarzheide Gmbh, Schipkauer Strasse 1, 01987 Scwarzheide, Germany (by m/s BASF India Ltd.)",
Ethephon Technical 75% min.& 90%min.,223,"1.  Bayer Crop Science LP, North Carolina, USA.
2.  Hebei Bestar Commerce and Trade Co. Ltd., 6-3-203 No. 66 Dianda Street Xinhua District Shijiazhuang, China. (validity upto 29
SEP 2022)","1.  Krishi Rasayan Pvt. Ltd., Calcutta
2.  Crystal Crop Protection Pvt. Ltd.,"
"Ethion Technical
92% min. & 95%* min. 98
% min**",222,"1.     Rhone Poulenc Agrochemie, Francek Supplied by: Volkart Brothers Ltd., Switzerland. Supplied by – Volkart Brothers Ltd., Switzerland
2.     *Cheminova A/S, P. O. Box 9, DK 7620, Lemvig, Denmark
3.     **M/s  Shijiazhuang  Richem Co.,   Ltd.,   No.   148   East Yuhua  Road,  Shijiazhuang, 050031,      Hebei,      China Supplier      Name      M/s Shijiazhuang   Richem   Co., Ltd.,  No.  148  East  Yuhua Road, Shijiazhuang, 050031, Hebei, China","1.     Rallis India Ltd.
2.     PI Industries Ltd., Udaipur
3.     Shaw Wallace & Co., Chennai.
4.     Shivalik Rasayan Ltd, New Delhi
5.     Hikal Limited, Mumbai
6.     Enzyme Pharmaceuticals and Industrial Chemicals Ltd, Mumbai
7.     Bhaskar Agro Chemicals Ltd, Hyderabad
8.     United Chemicals, Hyderabad
9.     Krishi Rasayan (P) Ltd
10.   Coromandel International Ltd.
11.   Hyderabad Chemical Products Pvt. Ltd.
12.   Punjab Chemicals and crop protection Ltd., Mumbai
13.   Bharat Rasayan Ltd., Delhi (95%, ) 9(4)
14.   Sudarshan Chemical Industries Ltd., Pune (95%) 9(4)"
Ethiprole Tech 92% min,717,"Bayer Crop Science, Hangzhou, Co. Ltd., China.",
Ethofenprox Technical 96.3% min. (Etofenprox),420,"Mitsui Chemical Inc., 2-5 Kasumigasakri, B-Cheme- Chiyaoda, Tokyo-100, Japan. New Source - Mitsui","1.      Isagro Asia India Pvt. Ltd.
2.      RPG Life Science Ltd., Mumbai"
,,"Chemicals, Shidome City Centre, 1-5-2, Higashi- shimbashi, Minato-ku, Tokyo, Japan (Authorized Agent -  Summit AgroInternational Co. Ltd., Tokyo, Japan",
Ethoxysulfuron 15% WDG,519,"Manufactured by Bayer Crop Science AG, Germany and formulation supplied by- Bayer Viertnam Ltd., Lot 118/14, Amata, IP Bien Hoa City, Dong Nai Province, Vietnam. (Bayer Crop Science AG, Germany., change to M/s Bayer AG, Germany), ( By M/s  Bayer CropScience Ltd.in 392nd
RC)",
Ethoxysulfuron Technical 95% w/w min.,519,"M/s Bayer Crop Science AG, Germany., change to M/s Bayer AG, Germany), ( By M/s  Bayer CropScience Ltd.95% in 392nd RC)",
"Ethylene Dibromide and Carbon Tetrachloride mixture (EDCT Mixture 3:1)
{ Ethylene Dibromide is banned vide S.O 682 (E ) 17th
July, 2001 }",50,To be informed.,
Etoxazole 10%SC(FI),828,"Sumitomo Chemical Company Ltd.,
27-1, Shinkawa, Tohyo-104-
8260, Japan",
